name,type,start_time,duration,"mosi","miso"
"SPI","error",19.292394,0.000006,,
"SPI","enable",19.292526,0.000001,,
"SPI","result",19.292531,0.000126,0x4001,0x0000
"SPI","disable",19.292661,0.000001,,
"SPI","enable",19.292665,0.000001,,
"SPI","result",19.29267,0.000126,0xC000,0x0000
"SPI","disable",19.2928,0.000001,,
"SPI","enable",19.353339,0.000001,,
"SPI","result",19.353344,0.000125,0xC003,0x0000
"SPI","disable",19.353473,0.000001,,
"SPI","enable",19.353478,0.000001,,
"SPI","result",19.353483,0.000126,0xC000,0x0000
"SPI","disable",19.353613,0.000001,,
"SPI","enable",19.468927,0.000001,,
"SPI","result",19.468932,0.000126,0xFFFC,0x0000
"SPI","disable",19.469062,0.000001,,
"SPI","enable",19.469067,0.000001,,
"SPI","result",19.469072,0.000125,0xC000,0x09FF
"SPI","disable",19.469201,0.000001,,
"SPI","enable",19.589722,0.000001,,
"SPI","result",19.589727,0.000125,0x7FFD,0x0000
"SPI","disable",19.589856,0.000001,,
"SPI","enable",19.589861,0.000001,,
"SPI","result",19.589866,0.000125,0xC000,0x8002
"SPI","disable",19.589996,0.000001,,
"SPI","enable",19.655325,0.000001,,
"SPI","result",19.65533,0.000126,0x7FFE,0x0000
"SPI","disable",19.65546,0.000001,,
"SPI","enable",19.655465,0.000001,,
"SPI","result",19.65547,0.000125,0xC000,0x9CEB
"SPI","disable",19.655599,0.000001,,
"SPI","enable",19.731348,0.000001,,
"SPI","result",19.731353,0.000126,0xFFFF,0x0000
"SPI","disable",19.731483,0.000001,,
"SPI","enable",19.731488,0.000001,,
"SPI","result",19.731493,0.000125,0xC000,0x035F
"SPI","disable",19.731622,0.000001,,
"SPI","enable",19.807359,0.000001,,
"SPI","result",19.807363,0.000126,0x4016,0x0000
"SPI","disable",19.807493,0.000001,,
"SPI","enable",19.807498,0.000001,,
"SPI","result",19.807503,0.000125,0xC000,0x0000
"SPI","disable",19.807632,0.000001,,
"SPI","enable",19.876087,0.000001,,
"SPI","result",19.876092,0.000125,0xC017,0x0000
"SPI","disable",19.876221,0.000001,,
"SPI","enable",19.876226,0.000001,,
"SPI","result",19.876231,0.000125,0xC000,0x0000
"SPI","disable",19.87636,0.000001,,
"SPI","enable",19.994804,0.000001,,
"SPI","result",19.994809,0.000126,0xC018,0x0000
"SPI","disable",19.994939,0.000001,,
"SPI","enable",19.994943,0.000001,,
"SPI","result",19.994948,0.000126,0xC000,0x8001
"SPI","disable",19.995078,0.000001,,
"SPI","enable",20.166617,0.000001,,
"SPI","result",20.166622,0.000126,0x4019,0x0000
"SPI","disable",20.166752,0.000001,,
"SPI","enable",20.166756,0.000001,,
"SPI","result",20.166761,0.000126,0xC000,0x0000
"SPI","disable",20.166891,0.000001,,
